流水號,程式設計,UNIX應用實務,微積分(I),普通物理學,計算機概論,總修學分數,實得學分數,高關懷
1,95,95,89,89,92,24.5,24.5,0
2,76,70,,,,18,12,1
3,52,60,83,78,42,23.5,17.5,0
4,75,77,95,79,60,23.5,23.5,0
5,72,87,73,66,60,21.5,21.5,0
6,37,13,91,69,47,20.5,14.5,0
7,43,80,85,81,42,23.5,17.5,0
8,27,60,79,88,12,23.5,17.5,0
9,64,80,67,78,68,21.5,21.5,0
10,75,74,98,87,86,23.5,23.5,0
11,85,87,78,79,70,23.5,21.5,0
12,75,60,65,75,60,23.5,23.5,0
13,99,91,92,64,63,23.5,23.5,0
14,74,70,73,80,60,23.5,23.5,0
15,72,86,64,76,61,23.5,23.5,0
16,51,60,60,65,31,23.5,13.5,1
17,67,89,72,94,60,23.5,23.5,0
18,96,96,72,88,88,23.5,23.5,0
19,82,77,84,86,50,23.5,20.5,0
20,52,75,53,65,49,21.5,12.5,1
21,61,60,66,72,47,23.5,20.5,0
22,70,60,60,78,60,23.5,23.5,0
23,86,83,97,95,79,23.5,23.5,0
24,69,84,55,91,51,23.5,17.5,0
25,86,82,80,78,85,23.5,23.5,0
26,79,60,61,71,73,23.5,23.5,0
27,69,83,62,91,60,23.5,23.5,0
28,72,81,80,92,60,23.5,23.5,0
29,53,70,60,83,60,21.5,18.5,0
30,62,84,74,79,32,23.5,20.5,0
31,95,84,86,87,60,23.5,23.5,0
32,52,60,34,89,44,23.5,10.5,1
33,98,89,90,97,87,23.5,23.5,0
34,81,72,83,97,62,23.5,21.5,0
35,84,77,79,88,87,23.5,23.5,0
36,87,83,86,98,52,21.5,18.5,0
37,75,78,83,89,71,23.5,23.5,0
38,68,68,69,83,41,23.5,20.5,0
39,68,62,61,89,44,23.5,20.5,0
40,70,84,70,95,60,23.5,23.5,0
41,36,60,48,60,23,23.5,10.5,1
42,75,80,79,95,60,23.5,23.5,0
43,87,80,87,93,73,23.5,23.5,0
44,44,75,36,79,60,21.5,13.5,1
45,49,74,67,40,27,23.5,14.5,1
46,86,79,90,77,60,23.5,23.5,0
47,70,83,79,63,67,21.5,21.5,0
48, ,63,,,,10.5,10.5,0
49,64,69,63,76,67,23.5,23.5,0
50,86,87,88,97,85,23.5,23.5,0
51,74,81,94,88,78,23.5,23.5,0
52,74,77,78,85,66,23.5,23.5,0
53,61,84,63,77,72,21.5,21.5,0
54,71,91,85,81,67,21.5,21.5,0
55,86,94,85,76,97,23.5,23.5,0
56,62,73,77,66,62,23.5,23.5,0
57,66,62,87,62,69,23.5,23.5,0
58,90,94,72,73,84,23.5,23.5,0
59,78,86,67,66,48,21.5,18.5,0
60,72,91,60,70,60,23.5,23.5,0
61,52,81,66,56,49,23.5,12.5,1
62,66,84,77,79,83,23.5,23.5,0
63,54,82,72,69,49,23.5,17.5,0
64,67,86,73,77,67,23.5,23.5,0
65,60,66,50,52,72,23.5,15.5,1
66,74,94,73,72,71,23.5,23.5,0
67,68,93,69,71,48,23.5,20.5,0
68,60,94,69,75,60,23.5,21.5,0
69,10,,0,9,32,20.5,6.5,1
70,71,73,60,74,73,23.5,23.5,0
71,67,82,46,45,68,23.5,17.5,0
72,57,75,60,74,60,23.5,20.5,0
73,73,90,65,83,66,23.5,23.5,0
74,60,77,83,74,60,23.5,23.5,0
75,45,0,49,50,30,23.5,4.5,1
76,57,78,60,67,60,23.5,20.5,0
77,16,85,72,60,60,23.5,20.5,0
78,19,,60,26,35,20.5,9.5,1
79,67,87,69,65,60,23.5,23.5,0
80,72,87,62,74,65,23.5,23.5,0
81,68,73,68,75,63,23.5,23.5,0
82,58,68,68,77,46,23.5,17.5,0
83,60,83,71,75,60,23.5,23.5,0
84,75,80,65,64,62,21.5,21.5,0
85,69,67,60,52,61,23.5,18.5,0
86,74,81,66,77,60,23.5,23.5,0
87,42,83,62,66,21,23.5,17.5,0
88,65,84,65,78,44,21.5,18.5,0
89,58,76,63,71,23,23.5,17.5,0
90,68,82,69,86,75,23.5,23.5,0
91,57,76,72,83,40,23.5,17.5,0
92,83,82,66,70,75,21.5,21.5,0
93, ,,28,66,19,19.5,13.5,0
94,97,86,92,79,89,21.5,21.5,0
95,78,83,88,81,79,23.5,23.5,0
96,82,83,70,75,60,23.5,23.5,0
97,83,83,85,76,80,23.5,23.5,0
98,77,83,86,76,75,21.5,21.5,0
99,79,87,66,74,60,23.5,23.5,0
100,79,86,75,76,60,23.5,23.5,0
101,64,86,71,75,66,23.5,23.5,0
102,71,83,71,76,60,23.5,23.5,0
103,72,85,65,71,68,23.5,23.5,0
104,57,85,69,73,41,23.5,15.5,1
105,57,85,65,79,45,23.5,17.5,0
106,61,92,93,81,85,23.5,23.5,0
107,89,87,71,74,76,23.5,23.5,0
108,62,86,90,77,60,21.5,21.5,0
109,57,83,64,75,46,23.5,17.5,0
110,64,68,60,74,60,23.5,23.5,0
111,84,70,73,73,63,21.5,21.5,0
112,64,83,76,79,89,23.5,23.5,0
113,57,83,62,76,69,23.5,20.5,0
114,75,86,79,76,76,23.5,23.5,0
115,65,73,54,78,42,21.5,15.5,0
116,43,86,69,78,60,23.5,20.5,0
117,36,71,49,76,8,23.5,14.5,1
118,88,84,76,66,32,23.5,20.5,0
119,48,84,73,70,44,23.5,17.5,0
120,58,83,67,65,63,23.5,20.5,0
121,81,86,74,71,60,23.5,23.5,0
122,55,83,69,81,71,23.5,20.5,0
123,49,83,64,68,34,23.5,17.5,0
124,47,83,61,78,60,21.5,18.5,0
125,41,87,63,76,24,21.5,15.5,0
126,34,84,69,76,61,23.5,20.5,0
127,67,83,76,76,69,23.5,23.5,0
128,47,71,54,74,20,21.5,12.5,1
129,62,84,79,74,60,23.5,23.5,0
130, ,83,,,,44.5,44.5,0
131,40,84,60,78,28,23,17,0
132,69,81,70,75,60,21.5,21.5,0
133,39,70,65,77,24,23.5,17.5,0
134,67,70,68,77,26,23.5,20.5,0
135,47,83,72,79,49,23.5,17.5,0
136,81,81,62,75,43,23.5,20.5,0
137,70,81,74,75,41,23.5,20.5,0
138,40,83,60,77,39,23.5,17.5,0
139,77,87,77,79,66,23.5,23.5,0
140,86,86,60,79,73,19.5,19.5,0
141, ,0,,43,,18,0,1
142,23,77,65,78,37,23.5,17.5,0
143,61,83,99,92,66,23.5,23.5,0
144,70,99,83,68,60,23.5,23.5,0
145,65,77,85,82,60,23.5,23.5,0
146,76,77,67,74,38,23.5,20.5,0
147,69,92,94,91,64,23.5,23.5,0
148,79,91,92,82,76,23.5,23.5,0
149,52,,78,72,60,18.5,15.5,0
150,76,85,98,92,66,23.5,23.5,0
151,60,72,84,82,68,23.5,23.5,0
152,66,96,74,78,60,23.5,23.5,0
153,60,63,88,76,60,23.5,23.5,0
154,70,60,71,69,46,23.5,20.5,0
155,70,85,79,68,60,23.5,23.5,0
156,47,75,75,71,60,23.5,20.5,0
157,67,,77,73,60,18.5,18.5,0
158,50,76,66,79,44,23.5,15.5,1
159,72,68,91,74,60,23.5,23.5,0
160,63,73,74,81,73,21.5,21.5,0
161,54,60,95,90,60,23.5,20.5,0
162,45,23,51,60,35,23.5,9.5,1
163,34,20,56,60,51,23.5,11.5,1
164,57,22,39,60,34,23.5,11.5,1
165,80,24,81,60,60,21.5,16.5,0
166,89,94,92,88,83,21.5,21.5,0
167,72,82,79,85,60,23.5,23.5,0
168,82,48,60,61,38,21.5,15.5,0
169,73,99,95,87,70,23.5,21.5,0
170,42,70,60,83,46,23.5,17.5,0
171,69,82,61,81,43,23.5,20.5,0
172,63,72,73,62,37,23.5,20.5,0
173,77,80,84,86,62,23.5,23.5,0
174,88,87,97,85,71,23.5,23.5,0
175,85,84,88,85,61,23.5,23.5,0
176,62,92,79,80,69,23.5,23.5,0
177,66,72,94,66,61,23.5,23.5,0
178,76,97,86,77,60,21.5,21.5,0
179,65,49,90,65,60,23.5,20.5,0
180, ,,,68,78,24.5,24.5,0
181, ,,,88,88,23.5,23.5,0
182,46,94,72,81,78,25.5,25.5,0
